date,from_currency,to_currency,rate
2026-04-28,VND,USD,3.94917e-05
2026-04-28,EUR,USD,1.0794443938
2026-04-28,ZAR,USD,0.0550542527
2026-04-28,INR,USD,0.0116984937
2026-04-29,USD,JPY,156.942073
2026-04-29,PHP,USD,0.0175530327
2026-04-29,IDR,USD,6.13889e-05
2026-04-29,VND,USD,3.93867e-05
2026-04-29,EUR,USD,1.0817593867
2026-04-29,ZAR,USD,0.0550168354
2026-04-29,INR,USD,0.0117105224
2026-04-30,USD,JPY,157.119437
2026-04-30,PHP,USD,0.0174886899
2026-04-30,IDR,USD,6.14051e-05
2026-04-30,VND,USD,3.9537e-05
2026-04-30,EUR,USD,1.0790326742
2026-04-30,ZAR,USD,0.0550719021
2026-04-30,INR,USD,0.0116801344
2026-05-01,USD,JPY,157.191123
2026-05-01,PHP,USD,0.0174677387
2026-05-01,IDR,USD,6.13743e-05
2026-05-01,VND,USD,3.95077e-05
2026-05-01,EUR,USD,1.0799434747
2026-05-01,ZAR,USD,0.0549776883
2026-05-01,INR,USD,0.0116561052
2026-05-04,USD,JPY,157.372325
2026-05-04,PHP,USD,0.0174565511
2026-05-04,IDR,USD,6.12371e-05
2026-05-04,VND,USD,3.94263e-05
2026-05-04,EUR,USD,1.0736875401
2026-05-04,ZAR,USD,0.0548184516
2026-05-04,INR,USD,0.0116894144
2026-05-05,USD,JPY,157.164726
2026-05-05,PHP,USD,0.0174409225
2026-05-05,IDR,USD,6.13166e-05
2026-05-05,VND,USD,3.92444e-05
2026-05-05,EUR,USD,1.0759782564
2026-05-05,ZAR,USD,0.0548286554
2026-05-05,INR,USD,0.011657158
2026-05-06,USD,JPY,157.376353
2026-05-06,PHP,USD,0.0174567504
2026-05-06,IDR,USD,6.11597e-05
2026-05-06,VND,USD,3.92722e-05
2026-05-06,EUR,USD,1.0752841161
2026-05-06,ZAR,USD,0.054962822
2026-05-06,INR,USD,0.0116329866
2026-05-07,USD,JPY,157.912922
2026-05-07,PHP,USD,0.0174093571
2026-05-07,IDR,USD,6.11137e-05
2026-05-07,VND,USD,3.92791e-05
2026-05-07,EUR,USD,1.0746127631
2026-05-07,ZAR,USD,0.0546904546
2026-05-07,INR,USD,0.0116421059
2026-05-08,USD,JPY,157.47907
2026-05-08,PHP,USD,0.0173986078
2026-05-08,IDR,USD,6.12025e-05
2026-05-08,VND,USD,3.91727e-05
2026-05-08,EUR,USD,1.0745038695
2026-05-08,ZAR,USD,0.0548461127
2026-05-08,INR,USD,0.0116230524
2026-05-11,USD,JPY,158.512559
2026-05-11,PHP,USD,0.0173901597
2026-05-11,IDR,USD,6.09619e-05
2026-05-11,VND,USD,3.93882e-05
2026-05-11,EUR,USD,1.0737827419
2026-05-11,ZAR,USD,0.0547886087
2026-05-11,INR,USD,0.0115912258
2026-05-12,USD,JPY,158.076459
2026-05-12,PHP,USD,0.0174089492
2026-05-12,IDR,USD,6.10885e-05
2026-05-12,VND,USD,3.93094e-05
2026-05-12,EUR,USD,1.0730784799
2026-05-12,ZAR,USD,0.0547262688
2026-05-12,INR,USD,0.0116218284
2026-05-13,USD,JPY,158.161049
2026-05-13,PHP,USD,0.0173660338
2026-05-13,IDR,USD,6.10353e-05
2026-05-13,VND,USD,3.92876e-05
2026-05-13,EUR,USD,1.0732254005
2026-05-13,ZAR,USD,0.0546290604
2026-05-13,INR,USD,0.0116822375
2026-05-14,USD,JPY,158.0506
2026-05-14,PHP,USD,0.0173825142
2026-05-14,IDR,USD,6.11439e-05
2026-05-14,VND,USD,3.93387e-05
2026-05-14,EUR,USD,1.0724298045
2026-05-14,ZAR,USD,0.0547508618
2026-05-14,INR,USD,0.0116160655
2026-05-15,USD,JPY,158.303125
2026-05-15,PHP,USD,0.0173974427
2026-05-15,IDR,USD,6.10965e-05
2026-05-15,VND,USD,3.93667e-05
2026-05-15,EUR,USD,1.0741245484
2026-05-15,ZAR,USD,0.0548181613
2026-05-15,INR,USD,0.0116373514
2026-05-18,USD,JPY,157.454808
2026-05-18,PHP,USD,0.0174676681
2026-05-18,IDR,USD,6.12972e-05
2026-05-18,VND,USD,3.92082e-05
2026-05-18,EUR,USD,1.0743847846
2026-05-18,ZAR,USD,0.0547078445
2026-05-18,INR,USD,0.0116546598
2026-05-19,USD,JPY,157.800784
2026-05-19,PHP,USD,0.0174209237
2026-05-19,IDR,USD,6.10428e-05
2026-05-19,VND,USD,3.92751e-05
2026-05-19,EUR,USD,1.0744593234
2026-05-19,ZAR,USD,0.0546738307
2026-05-19,INR,USD,0.0116559111
2026-05-20,USD,JPY,157.644323
2026-05-20,PHP,USD,0.0174371709
2026-05-20,IDR,USD,6.13912e-05
2026-05-20,VND,USD,3.93046e-05
2026-05-20,EUR,USD,1.0771709795
2026-05-20,ZAR,USD,0.0547981049
2026-05-20,INR,USD,0.0116374832
2026-05-21,USD,JPY,157.294344
2026-05-21,PHP,USD,0.0174572667
2026-05-21,IDR,USD,6.12311e-05
2026-05-21,VND,USD,3.93735e-05
2026-05-21,EUR,USD,1.0745098262
2026-05-21,ZAR,USD,0.0548161888
2026-05-21,INR,USD,0.0116279621
2026-05-22,USD,JPY,157.569759
2026-05-22,PHP,USD,0.017447003
2026-05-22,IDR,USD,6.12507e-05
2026-05-22,VND,USD,3.94054e-05
2026-05-22,EUR,USD,1.0738639778
2026-05-22,ZAR,USD,0.0547740701
2026-05-22,INR,USD,0.0116669305
2026-05-25,USD,JPY,157.311121
2026-05-25,PHP,USD,0.0174261684
2026-05-25,IDR,USD,6.13529e-05
2026-05-25,VND,USD,3.94716e-05
2026-05-25,EUR,USD,1.0794217217
2026-05-25,ZAR,USD,0.0548433138
2026-05-25,INR,USD,0.0117054331
2026-05-26,USD,JPY,157.197721
2026-05-26,PHP,USD,0.017452404
2026-05-26,IDR,USD,6.15511e-05
2026-05-26,VND,USD,3.9464e-05
2026-05-26,EUR,USD,1.0806519065
2026-05-26,ZAR,USD,0.0547683392
2026-05-26,INR,USD,0.0117225881
2026-05-27,USD,JPY,156.969915
2026-05-27,PHP,USD,0.0175133806
2026-05-27,IDR,USD,6.14262e-05
2026-05-27,VND,USD,3.93887e-05
2026-05-27,EUR,USD,1.080448545
2026-05-27,ZAR,USD,0.0549836395
2026-05-27,INR,USD,0.0117142761
2026-05-28,USD,JPY,157.018113
2026-05-28,PHP,USD,0.0174540654
2026-05-28,IDR,USD,6.13652e-05
2026-05-28,VND,USD,3.95361e-05
2026-05-28,EUR,USD,1.0816536647
2026-05-28,ZAR,USD,0.0550797422
2026-05-28,INR,USD,0.0116792436
2026-05-29,USD,JPY,156.813564
2026-05-29,PHP,USD,0.0174620018
2026-05-29,IDR,USD,6.14479e-05
2026-05-29,VND,USD,3.95648e-05
2026-05-29,EUR,USD,1.0822706931
2026-05-29,ZAR,USD,0.0551495034
2026-05-29,INR,USD,0.011698648
2026-06-01,USD,JPY,156.77284
2026-06-01,PHP,USD,0.0175287057
2026-06-01,IDR,USD,6.18368e-05
2026-06-01,VND,USD,3.95906e-05
2026-06-01,EUR,USD,1.0807315128
2026-06-01,ZAR,USD,0.055296071
2026-06-01,INR,USD,0.0117186429
2026-06-02,USD,JPY,156.515362
2026-06-02,PHP,USD,0.017557997
2026-06-02,IDR,USD,6.16862e-05
2026-06-02,VND,USD,3.95345e-05
2026-06-02,EUR,USD,1.0847037757
2026-06-02,ZAR,USD,0.0550652196
2026-06-02,INR,USD,0.0117501526
2026-06-03,USD,JPY,156.492912
2026-06-03,PHP,USD,0.017568393
2026-06-03,IDR,USD,6.16786e-05
2026-06-03,VND,USD,3.96862e-05
2026-06-03,EUR,USD,1.0839949609
2026-06-03,ZAR,USD,0.0551117969
2026-06-03,INR,USD,0.0117784905
2026-06-04,USD,JPY,156.569474
2026-06-04,PHP,USD,0.0175525226
2026-06-04,IDR,USD,6.17753e-05
2026-06-04,VND,USD,3.95723e-05
2026-06-04,EUR,USD,1.0867142246
2026-06-04,ZAR,USD,0.0552174605
2026-06-04,INR,USD,0.0117434679
2026-06-05,USD,JPY,156.533026
2026-06-05,PHP,USD,0.0175374973
2026-06-05,IDR,USD,6.21342e-05
2026-06-05,VND,USD,3.97067e-05
2026-06-05,EUR,USD,1.0856690548
2026-06-05,ZAR,USD,0.0552238237
2026-06-05,INR,USD,0.0117447518
2026-06-08,USD,JPY,156.516979
2026-06-08,PHP,USD,0.0175752216
2026-06-08,IDR,USD,6.16733e-05
2026-06-08,VND,USD,3.96248e-05
2026-06-08,EUR,USD,1.0880762257
2026-06-08,ZAR,USD,0.0552262431
2026-06-08,INR,USD,0.0117697296
2026-06-09,USD,JPY,155.631712
2026-06-09,PHP,USD,0.0175982838
2026-06-09,IDR,USD,6.18393e-05
2026-06-09,VND,USD,3.97665e-05
2026-06-09,EUR,USD,1.0850807954
2026-06-09,ZAR,USD,0.0551431564
2026-06-09,INR,USD,0.0117607915
2026-06-10,USD,JPY,156.161425
2026-06-10,PHP,USD,0.0176358583
2026-06-10,IDR,USD,6.18542e-05
2026-06-10,VND,USD,3.97786e-05
2026-06-10,EUR,USD,1.0858030115
2026-06-10,ZAR,USD,0.0554106257
2026-06-10,INR,USD,0.0117428385
2026-06-11,USD,JPY,155.969328
2026-06-11,PHP,USD,0.0176610083
2026-06-11,IDR,USD,6.19024e-05
2026-06-11,VND,USD,3.97575e-05
2026-06-11,EUR,USD,1.0860423659
2026-06-11,ZAR,USD,0.0552363992
2026-06-11,INR,USD,0.0117467248
2026-06-12,USD,JPY,156.000997
2026-06-12,PHP,USD,0.0176184251
2026-06-12,IDR,USD,6.19011e-05
2026-06-12,VND,USD,3.98045e-05
2026-06-12,EUR,USD,1.0859598176
2026-06-12,ZAR,USD,0.0553211829
2026-06-12,INR,USD,0.011792122
2026-06-15,USD,JPY,156.139234
2026-06-15,PHP,USD,0.0175542425
2026-06-15,IDR,USD,6.19106e-05
2026-06-15,VND,USD,3.97247e-05
2026-06-15,EUR,USD,1.0857522176
2026-06-15,ZAR,USD,0.0550915159
2026-06-15,INR,USD,0.0117767166
2026-06-16,USD,JPY,156.397768
2026-06-16,PHP,USD,0.0175734022
2026-06-16,IDR,USD,6.17942e-05
2026-06-16,VND,USD,3.97285e-05
2026-06-16,EUR,USD,1.0852896294
2026-06-16,ZAR,USD,0.0551944831
2026-06-16,INR,USD,0.0117478909
2026-06-17,USD,JPY,156.426207
2026-06-17,PHP,USD,0.0175919218
2026-06-17,IDR,USD,6.17044e-05
2026-06-17,VND,USD,3.97277e-05
2026-06-17,EUR,USD,1.0834260795
2026-06-17,ZAR,USD,0.0552639312
2026-06-17,INR,USD,0.0117689391
2026-06-18,USD,JPY,156.748698
2026-06-18,PHP,USD,0.0176167189
2026-06-18,IDR,USD,6.16827e-05
2026-06-18,VND,USD,3.9723e-05
2026-06-18,EUR,USD,1.0846803298
2026-06-18,ZAR,USD,0.0550866971
2026-06-18,INR,USD,0.0117457528
2026-06-19,USD,JPY,156.267569
2026-06-19,PHP,USD,0.0175726502
2026-06-19,IDR,USD,6.17233e-05
2026-06-19,VND,USD,3.96071e-05
2026-06-19,EUR,USD,1.0859051163
2026-06-19,ZAR,USD,0.0552088781
2026-06-19,INR,USD,0.0117445531
2026-06-22,USD,JPY,156.488658
2026-06-22,PHP,USD,0.017519498
2026-06-22,IDR,USD,6.16731e-05
2026-06-22,VND,USD,3.95589e-05
2026-06-22,EUR,USD,1.0851672548
2026-06-22,ZAR,USD,0.0550465908
2026-06-22,INR,USD,0.0117498838
2026-06-23,USD,JPY,156.874489
2026-06-23,PHP,USD,0.0175664686
2026-06-23,IDR,USD,6.16423e-05
2026-06-23,VND,USD,3.96139e-05
2026-06-23,EUR,USD,1.0847826908
2026-06-23,ZAR,USD,0.0549592882
2026-06-23,INR,USD,0.0117357321
2026-06-24,USD,JPY,156.870515
2026-06-24,PHP,USD,0.0175083393
2026-06-24,IDR,USD,6.14964e-05
2026-06-24,VND,USD,3.9509e-05
2026-06-24,EUR,USD,1.078917239
2026-06-24,ZAR,USD,0.055092355
2026-06-24,INR,USD,0.0117141762
2026-06-25,USD,JPY,156.78031
2026-06-25,PHP,USD,0.0174722851
2026-06-25,IDR,USD,6.16302e-05
2026-06-25,VND,USD,3.94263e-05
2026-06-25,EUR,USD,1.0802180674
2026-06-25,ZAR,USD,0.0550244827
2026-06-25,INR,USD,0.0116885354
2026-06-26,USD,JPY,157.203629
2026-06-26,PHP,USD,0.0174989772
2026-06-26,IDR,USD,6.1498e-05
2026-06-26,VND,USD,3.94694e-05
2026-06-26,EUR,USD,1.0766220281
2026-06-26,ZAR,USD,0.0550516361
2026-06-26,INR,USD,0.0116792796
2026-06-29,USD,JPY,157.412741
2026-06-29,PHP,USD,0.0174297789
2026-06-29,IDR,USD,6.12743e-05
2026-06-29,VND,USD,3.93968e-05
2026-06-29,EUR,USD,1.0789827032
2026-06-29,ZAR,USD,0.0547172865
2026-06-29,INR,USD,0.0117036371
2026-06-30,USD,JPY,157.502849
2026-06-30,PHP,USD,0.0174538357
2026-06-30,IDR,USD,6.11175e-05
2026-06-30,VND,USD,3.92463e-05
2026-06-30,EUR,USD,1.0805254783
2026-06-30,ZAR,USD,0.0549054576
2026-06-30,INR,USD,0.0116641641
