order_id,merchant_id,route_id,processor,created_at,completed_at,order_type,status,amount,currency,amount_usd,customer_id,customer_country,payment_method,decline_reason
5100029,NOVA-FX,KRTX-03,KRTX,2026-04-01 13:45:51,2026-04-01 13:49:16,SALE,APPROVED,7110.02,PHP,,CU-180389,PH,CARD,
5100030,NOVA-FX,KRTX-03,KRTX,2026-04-01 03:14:45,2026-04-01 03:16:13,SALE,APPROVED,11383.04,PHP,199.2,CU-824074,PH,CARD,
5100031,NOVA-FX,KRTX-03,KRTX,2026-04-01 04:49:44,2026-04-01 04:51:35,SALE,APPROVED,141478.0,JPY,,CU-601364,JP,CARD,
5100032,NOVA-FX,SORVA-22,SORVA,2026-04-01 01:08:26,2026-04-01 01:08:50,SALE,DECLINED,28585.31,PHP,500.37,CU-847862,PH,EWALLET,insufficient_funds
5100033,NOVA-FX,,,2026-04-01 19:57:54,2026-04-01 19:59:33,SALE,FILTERED,71837.63,PHP,1257.15,CU-590230,PHL,BANK_TRANSFER,blocked_pre_routing
5100034,NOVA-FX,,,2026-04-01 08:51:45,2026-04-01 08:52:04,SALE,FILTERED,2119.29,PHP,37.03,CU-976879,PH,CARD,blocked_pre_routing
5100035,NOVA-FX,KRTX-03,KRTX,2026-04-01 04:58:26,2026-04-01 04:59:30,SALE,APPROVED,88427.0,JPY,,CU-945771,JP,CARD,
5100036,NOVA-FX,,,2026-04-01 18:04:06,2026-04-01 18:04:24,SALE,FILTERED,19101.0,JPY,121.71,CU-890344,JP,CARD,blocked_pre_routing
5100037,NOVA-FX,SORVA-14,SORVA,2026-04-01 20:19:51,2026-04-01 20:19:56,SALE,DECLINED,3366.71,USD,3366.71,CU-907240,US,CARD,insufficient_funds
5100038,NOVA-FX,sorva-14,SORVA,2026-04-01 20:20:18,2026-04-01 20:23:02,SALE,APPROVED,3366.71,USD,3366.71,CU-907240,US,CARD,
5100039,NOVA-FX,KRTX-11,KRTX,2026-04-01 19:52:20,2026-04-01 19:53:00,SALE,APPROVED,2051.95,PHP,35.93,CU-175726,PH,BANK_TRANSFER,
5100040,NOVA-FX,SORVA-22,SORVA,2026-04-01 14:20:57,2026-04-01 14:22:37,SALE,APPROVED,20393.22,PHP,357.69,CU-245835,PH,EWALLET,
5100041,NOVA-FX,KRTX-11,KRTX,2026-04-01 10:59:11,2026-04-01 11:00:13,SALE,APPROVED,2703.77,PHP,47.36,CU-155246,PH,BANK_TRANSFER,
5100042,NOVA-FX,SORVA-14,SORVA,2026-04-01 09:35:38,2026-04-01 09:36:40,SALE,APPROVED,861.54,USD,,CU-752563,US,CARD,
5100043,NOVA-FX,,,2026-04-01 22:22:47,2026-04-01 22:23:12,SALE,FILTERED,1123.8,PHP,,CU-513399,PH,CARD,blocked_pre_routing
5100044,NOVA-FX,SORVA-14,SORVA,2026-04-01 02:24:29,2026-04-01 02:24:47,SALE,APPROVED,9.6,USD,9.6,CU-129395,US,CARD,
5100045,NOVA-FX,,,2026-04-01 03:32:30,2026-04-01 03:32:56,SALE,FILTERED,118.65,USD,118.65,CU-490468,US,CARD,blocked_pre_routing
5100046,NOVA-FX,SORVA-14,SORVA,2026-04-01 17:39:59,2026-04-01 17:40:35,SALE,APPROVED,93.64,USD,,CU-142041,US,CARD,
5100047,NOVA-FX,KRTX-03,KRTX,2026-04-01 17:09:24,2026-04-01 17:09:47,SALE,APPROVED,25617.0,JPY,163.14,CU-285589,JP,CARD,
5100048,NOVA-FX,KRTX-11,KRTX,2026-04-01 08:34:42,2026-04-01 08:35:08,SALE,approved,8754.25,PHP,153.23,CU-422224,PH,BANK_TRANSFER,
5100049,NOVA-FX,,,2026-04-01 07:31:19,2026-04-01 07:31:28,SALE,FILTERED,879.99,PHP,,CU-186554,PH,BANK_TRANSFER,blocked_pre_routing
5100050,NOVA-FX,KRTX-03,KRTX,2026-04-01 20:51:04,2026-04-01 20:53:33,SALE,APPROVED,27284.0,JPY,173.61,CU-152439,JP,CARD,
5100051,NOVA-FX,KRTX-03,KRTX,2026-04-01 07:05:03,2026-04-01 07:05:36,SALE,APPROVED,151163.0,JPY,963.2,CU-985500,JP,CARD,
5100052,NOVA-FX,SORVA-22,SORVA,2026-04-01 05:33:12,2026-04-01 05:33:58,SALE,APPROVED,20535.86,PHP,358.74,CU-445278,PH,EWALLET,
5100053,NOVA-FX,SORVA-14,SORVA,2026-04-01 04:58:45,2026-04-01 05:01:44,SALE,APPROVED,156.09,USD,156.09,CU-646132,US,CARD,
5100054,NOVA-FX,KRTX-03,KRTX,2026-04-01 08:41:27,2026-04-01 08:41:58,SALE,APPROVED,435306.0,JPY,2774.15,CU-356739,JP,CARD,
5100055,NOVA-FX,KRTX-03,KRTX,2026-04-01 12:21:28,2026-04-01 12:21:31,SALE,APPROVED,20194.0,JPY,128.61,CU-534804,JP,CARD,
5100056,NOVA-FX,SORVA-22,SORVA,2026-04-01 00:51:40,2026-04-01 00:52:29,SALE,FILTERED,2876.38,PHP,50.38,CU-203729,US,EWALLET,limit_exceeded
5100057,NOVA-FX,,,2026-04-01 03:20:54,2026-04-01 03:22:14,SALE,FILTERED,33982.0,JPY,216.34,CU-665568,JP,CARD,blocked_pre_routing
5100058,NOVA-FX,sorva-14,SORVA,2026-04-01 13:44:26,2026-04-01 13:44:42,SALE,DECLINED,231.5,USD,231.5,CU-633956,US,CARD,invalid_card
5100059,NOVA-FX,SORVA-14,SORVA,2026-04-01 10:09:38,2026-04-01 10:10:46,SALE,APPROVED,154.95,USD,,CU-324035,US,CARD,
5100060,NOVA-FX,SORVA-14,SORVA,2026-04-01 20:57:56,2026-04-01 20:58:35,SALE,APPROVED,290.42,USD,290.42,CU-497320,US,CARD,
5100061,NOVA-FX,KRTX-11,KRTX,2026-04-01 11:04:19,2026-04-01 11:04:53,SALE,DECLINED,1975.1,PHP,34.58,CU-618503,PH,BANK_TRANSFER,insufficient_funds
5100062,NOVA-FX,KRTX-11,KRTX,2026-04-01 11:05:45,2026-04-01 11:06:44,SALE,FILTERED,1975.1,PHP,34.51,CU-618503,PH,BANK_TRANSFER,risk_blocked
5100063,NOVA-FX,KRTX-11,KRTX,2026-04-01 23:46:54,2026-04-01 23:47:16,SALE,FILTERED,3665.69,PHP,64.08,CU-378844,PH,BANK_TRANSFER,limit_exceeded
5100064,NOVA-FX,KRTX-03,KRTX,2026-04-01 01:50:47,2026-04-01 01:51:16,SALE,approved,4174.0,JPY,26.61,CU-507235,JP,CARD,
5100065,NOVA-FX,SORVA-22,SORVA,2026-04-01 18:09:12,2026-04-01 18:10:14,SALE,APPROVED,4517.29,PHP,78.97,CU-141271,US,EWALLET,
5100066,NOVA-FX,,,2026-04-01 19:52:08,2026-04-01 19:57:51,SALE,FILTERED,6304.5,PHP,110.47,CU-358262,PH,BANK_TRANSFER,blocked_pre_routing
5100067,NOVA-FX,SORVA-22,SORVA,2026-04-01 03:32:17,2026-04-01 03:32:51,SALE,DECLINED,7176.25,PHP,,CU-957988,PH,EWALLET,insufficient_funds
5100068,NOVA-FX,SORVA-22,SORVA,2026-04-01 03:33:05,2026-04-01 03:33:57,SALE,DECLINED,7176.25,PHP,125.4,CU-957988,PH,EWALLET,timeout
5100069,NOVA-FX,KRTX-03,KRTX,2026-04-01 13:29:19,2026-04-01 13:29:45,SALE,APPROVED,90135.0,JPY,573.39,CU-914140,JP,CARD,
5100070,NOVA-FX,SORVA-14,SORVA,2026-04-01 06:04:19,2026-04-01 06:04:53,SALE,APPROVED,20478.0,JPY,130.35,CU-188015,JP,CARD,
5100071,NOVA-FX,KRTX-03,KRTX,2026-04-01 23:48:24,2026-04-01 23:48:38,SALE,APPROVED,11951.68,PHP,209.22,CU-375381,Philippines,CARD,
5100072,NOVA-FX,SORVA-14,SORVA,2026-04-01 09:41:38,2026-04-01 09:42:04,SALE,APPROVED,21976.0,JPY,140.04,CU-324226,JP,CARD,
5100073,NOVA-FX,SORVA-22,SORVA,2026-04-01 19:05:25,2026-04-01 19:06:34,SALE,APPROVED,4801.03,PHP,84.13,CU-885218,PH,EWALLET,
5100074,NOVA-FX,SORVA-22,SORVA,2026-04-01 23:07:02,2026-04-01 23:07:09,SALE,APPROVED,103985.36,PHP,1819.91,CU-643065,,EWALLET,
5100075,NOVA-FX,SORVA-14,SORVA,2026-04-01 10:39:01,2026-04-01 10:39:35,SALE,FILTERED,80.78,USD,80.78,CU-135104,US,CARD,risk_blocked
5100076,NOVA-FX,KRTX-03,KRTX,2026-04-01 00:22:42,2026-04-01 00:23:28,SALE,DECLINED,20244.0,JPY,129.56,CU-163812,JP,CARD,invalid_card
5100077,NOVA-FX,KRTX-03,KRTX,2026-04-01 09:30:15,2026-04-01 09:30:46,SALE,FILTERED,1077.4,PHP,18.86,CU-732846,US,CARD,risk_blocked
5100078,NOVA-FX,KRTX-03,KRTX,2026-04-01 04:55:14,2026-04-01 04:56:29,SALE,APPROVED,772.26,PHP,13.52,CU-198308,PH,CARD,
5100079,NOVA-FX,SORVA-14,SORVA,2026-04-01 08:59:25,2026-04-01 09:00:44,SALE,approved,1297.4,USD,1297.4,CU-106287,US,CARD,
5100080,NOVA-FX,SORVA-22,SORVA,2026-04-01 23:24:48,2026-04-01 23:26:31,SALE,APPROVED,21006.21,PHP,367.41,CU-408626,PHL,EWALLET,
5100081,NOVA-FX,KRTX-03,KRTX,2026-04-01 01:05:48,2026-04-01 01:07:05,SALE,APPROVED,43007.0,JPY,274.4,CU-693001,JP,CARD,
5100082,NOVA-FX,KRTX-11,KRTX,2026-04-01 12:22:00,2026-04-01 12:23:28,SALE,DECLINED,4004.01,PHP,70.05,CU-245060,PH,BANK_TRANSFER,insufficient_funds
5100083,NOVA-FX,KRTX-11,KRTX,2026-04-01 12:23:07,2026-04-01 12:24:04,SALE,APPROVED,4004.01,PHP,70.11,CU-245060,PH,BANK_TRANSFER,
5100084,NOVA-FX,KRTX-03,KRTX,2026-04-01 19:58:40,2026-04-01 19:59:00,SALE,APPROVED,24916.5,PHP,436.16,CU-119831,PH,CARD,
5100085,NOVA-FX,KRTX-11,KRTX,2026-04-01 22:29:18,2026-04-01 22:29:36,SALE,APPROVED,1290.76,PHP,22.55,CU-530282,PH,BANK_TRANSFER,
5100086,NOVA-FX,KRTX-03,KRTX,2026-04-01 03:40:06,2026-04-01 03:40:26,SALE,APPROVED,4236.16,PHP,74.12,CU-482546,PH,CARD,
5100087,NOVA-FX,,,2026-04-01 05:53:42,2026-04-01 05:53:48,SALE,FILTERED,3326.79,PHP,58.15,CU-943522,PH,CARD,blocked_pre_routing
5100088,NOVA-FX,KRTX-03,KRTX,2026-04-01 12:58:16,2026-04-01 12:58:51,SALE,APPROVED,236.44,PHP,4.14,CU-530997,PH,CARD,
5100089,NOVA-FX,SORVA-14,SORVA,2026-04-01 21:49:51,2026-04-01 21:50:34,SALE,APPROVED,22.0,USD,22.0,CU-140050,US,CARD,
5100090,NOVA-FX,KRTX-11,KRTX,2026-04-01 08:27:26,2026-04-01 08:29:25,SALE,APPROVED,7132.14,PHP,124.94,CU-592168,PH,BANK_TRANSFER,
5100091,NOVA-FX,SORVA-14,SORVA,2026-04-01 09:20:36,2026-04-01 09:21:19,SALE,APPROVED,27642.0,JPY,,CU-814156,JP,CARD,
5100092,NOVA-FX,SORVA-22,SORVA,2026-04-01 17:26:04,2026-04-01 17:26:40,SALE,APPROVED,3796.72,PHP,66.43,CU-276819,Philippines,EWALLET,
5100093,NOVA-FX,KRTX-03,KRTX,2026-04-01 19:47:35,2026-04-01 19:47:55,SALE,APPROVED,79828.0,JPY,507.93,CU-414048,JP,CARD,
5100094,NOVA-FX,,,2026-04-01 15:26:00,2026-04-01 15:27:01,SALE,FILTERED,5387.71,PHP,94.45,CU-942146,PH,CARD,blocked_pre_routing
5100095,NOVA-FX,SORVA-14,SORVA,2026-04-01 18:14:23,2026-04-01 18:15:40,SALE,APPROVED,564.2,USD,564.2,CU-610548,US,CARD,
5100096,NOVA-FX,KRTX-03,KRTX,2026-04-01 02:24:21,2026-04-01 02:24:35,SALE,APPROVED,142141.0,JPY,903.94,CU-627957,JP,CARD,
5100097,NOVA-FX,SORVA-14,SORVA,2026-04-01 15:08:30,2026-04-01 15:09:38,SALE,APPROVED,145.4,USD,145.4,CU-306371,US,CARD,
5100098,NOVA-FX,KRTX-11,KRTX,2026-04-01 20:50:44,2026-04-01 20:50:53,SALE,APPROVED,2666.66,PHP,46.67,CU-901864,PH,BANK_TRANSFER,
5100099,NOVA-FX,KRTX-03,KRTX,2026-04-01 19:05:22,2026-04-01 19:06:27,SALE,DECLINED,3068.15,PHP,53.7,CU-802117,PH,CARD,do_not_honor
5100100,NOVA-FX,KRTX-03,KRTX,2026-04-01 13:10:34,2026-04-01 13:10:47,SALE,APPROVED,451396.0,JPY,2869.14,CU-439997,JP,CARD,
5100101,NOVA-FX,KRTX-03,KRTX,2026-04-01 15:45:24,2026-04-01 15:46:32,SALE,approved,142084.0,jpy,906.51,CU-177855,JP,CARD,
5100102,NOVA-FX,SORVA-14,SORVA,2026-04-01 23:19:44,2026-04-01 23:21:23,SALE,APPROVED,104.07,USD,104.07,CU-629202,US,CARD,
5100103,NOVA-FX,KRTX-03,KRTX,2026-04-01 15:06:42,2026-04-01 15:07:04,SALE,DECLINED,2202.18,PHP,38.56,CU-137203,PH,CARD,invalid_card
5100104,NOVA-FX,SORVA-22,SORVA,2026-04-01 11:37:33,2026-04-01 11:39:35,SALE,APPROVED,1537.34,PHP,26.94,CU-548530,PH,EWALLET,
5100105,NOVA-FX,SORVA-22,SORVA,2026-04-01 02:04:47,2026-04-01 02:06:02,SALE,APPROVED,4625.9,PHP,81.01,CU-373497,PH,EWALLET,
5100106,NOVA-FX,KRTX-03,KRTX,2026-04-01 06:22:30,2026-04-01 06:24:46,SALE,APPROVED,345483.0,JPY,2197.93,CU-877762,JP,CARD,
5100107,NOVA-FX,SORVA-14,SORVA,2026-04-01 15:58:13,2026-04-01 15:58:29,SALE,APPROVED,1246.93,USD,1246.93,CU-843105,US,CARD,
5100108,NOVA-FX,KRTX-03,KRTX,2026-04-01 11:47:44,2026-04-01 11:48:44,SALE,APPROVED,5150.97,PHP,90.13,CU-917082,PH,CARD,
5100109,NOVA-FX,KRTX-11,KRTX,2026-04-01 01:28:55,2026-04-01 01:29:13,SALE,APPROVED,543.67,PHP,,CU-300300,PH,BANK_TRANSFER,
5100110,NOVA-FX,,,2026-04-01 09:55:27,2026-04-01 09:58:45,SALE,FILTERED,595.29,PHP,10.41,CU-570138,PH,CARD,blocked_pre_routing
5100111,NOVA-FX,KRTX-11,KRTX,2026-04-01 06:08:10,2026-04-01 06:08:23,SALE,APPROVED,13909.84,PHP,243.04,CU-566720,PH,BANK_TRANSFER,
5100112,NOVA-FX,KRTX-03,KRTX,2026-04-01 21:45:59,2026-04-01 21:46:37,SALE,DECLINED,184.53,PHP,3.22,CU-741952,PH,CARD,invalid_card
5100113,NOVA-FX,,,2026-04-01 17:12:37,2026-04-01 17:12:51,SALE,FILTERED,28461.09,PHP,497.46,CU-904916,PH,EWALLET,blocked_pre_routing
5100114,NOVA-FX,SORVA-14,SORVA,2026-04-01 09:45:08,2026-04-01 09:45:53,SALE,APPROVED,20.59,USD,20.59,CU-946668,US,CARD,
5100115,NOVA-FX,SORVA-22,SORVA,2026-04-01 01:03:21,2026-04-01 01:04:37,SALE,APPROVED,54160.96,PHP,948.87,CU-519138,,EWALLET,
5100116,NOVA-FX,KRTX-11,KRTX,2026-04-01 10:57:06,2026-04-01 10:57:25,SALE,APPROVED,1057.49,PHP,18.55,CU-295085,PH,BANK_TRANSFER,
5100117,NOVA-FX,KRTX-11,KRTX,2026-04-01 16:13:46,2026-04-01 16:14:58,SALE,APPROVED,4433.37,PHP,77.45,CU-968820,,BANK_TRANSFER,
5100118,NOVA-FX,sorva-14,SORVA,2026-04-01 23:26:20,2026-04-01 23:26:34,SALE,APPROVED,29.75,USD,,CU-256344,US,CARD,
5100119,NOVA-FX,SORVA-14,SORVA,2026-04-01 05:58:48,2026-04-01 06:00:06,SALE,APPROVED,111559.0,JPY,710.83,CU-643449,JP,CARD,
5100120,NOVA-FX,KRTX-03,KRTX,2026-04-01 06:11:50,2026-04-01 06:14:55,SALE,APPROVED,15126.9,PHP,264.92,CU-296397,US,CARD,
5100121,NOVA-FX,,,2026-04-01 01:04:32,2026-04-01 01:05:16,SALE,FILTERED,7032.0,JPY,44.82,CU-710002,JP,CARD,blocked_pre_routing
5100122,NOVA-FX,KRTX-11,KRTX,2026-04-01 08:56:40,2026-04-01 08:57:17,SALE,APPROVED,105990.17,PHP,1852.48,CU-262164,PHL,BANK_TRANSFER,
5100123,NOVA-FX,KRTX-11,KRTX,2026-04-01 17:30:06,2026-04-01 17:32:13,SALE,APPROVED,1843.76,PHP,32.35,CU-678171,PH,BANK_TRANSFER,
5100124,NOVA-FX,KRTX-11,KRTX,2026-04-01 21:32:49,2026-04-01 21:32:57,SALE,APPROVED,1052.34,PHP,18.42,CU-767162,PH,BANK_TRANSFER,
5100125,NOVA-FX,SORVA-22,SORVA,2026-04-01 03:22:44,2026-04-01 03:23:17,SALE,APPROVED,263.66,PHP,4.62,CU-496460,US,EWALLET,
5100126,NOVA-FX,SORVA-22,SORVA,2026-04-01 01:17:35,2026-04-01 01:17:51,SALE,APPROVED,27133.88,PHP,475.09,CU-238719,PH,EWALLET,
5100127,NOVA-FX,KRTX-11,KRTX,2026-04-01 22:48:56,2026-04-01 22:49:10,SALE,APPROVED,10952.79,PHP,191.85,CU-637031,PH,BANK_TRANSFER,
5100128,NOVA-FX,KRTX-11,KRTX,2026-04-01 08:34:03,2026-04-01 08:34:18,SALE,APPROVED,201847.26,PHP,3527.45,CU-520946,PH,BANK_TRANSFER,
5100129,NOVA-FX,SORVA-14,SORVA,2026-04-01 01:33:28,2026-04-01 01:36:56,SALE,APPROVED,160381.0,JPY,1020.97,CU-101390,JP,CARD,
5100130,NOVA-FX,SORVA-14,SORVA,2026-04-01 21:45:45,2026-04-01 21:46:01,SALE,APPROVED,2880.25,USD,2880.25,CU-752675,US,CARD,
5100131,NOVA-FX,,,2026-04-01 15:02:59,2026-04-01 15:03:42,SALE,FILTERED,2130.51,PHP,37.29,CU-422476,US,CARD,blocked_pre_routing
5100132,NOVA-FX,SORVA-22,SORVA,2026-04-01 09:06:22,2026-04-01 09:10:36,SALE,APPROVED,16204.77,PHP,283.26,CU-918565,PH,EWALLET,
5100133,NOVA-FX,KRTX-03,KRTX,2026-04-01 11:06:51,2026-04-01 11:07:45,SALE,APPROVED,20135.6,PHP,352.25,CU-349416,PH,CARD,
5100134,NOVA-FX,,,2026-04-01 17:09:29,2026-04-01 17:09:37,SALE,FILTERED,17.18,USD,17.18,CU-719328,US,CARD,blocked_pre_routing
5100135,NOVA-FX,KRTX-03,KRTX,2026-04-01 23:56:34,2026-04-01 23:56:59,SALE,DECLINED,51039.0,JPY,,CU-201278,JP,CARD,insufficient_funds
5100136,NOVA-FX,KRTX-03,KRTX,2026-04-01 23:57:42,2026-04-01 23:59:15,SALE,APPROVED,51039.0,JPY,325.03,CU-201278,JP,CARD,
5100137,NOVA-FX,,,2026-04-01 11:46:05,2026-04-01 11:46:48,SALE,FILTERED,4038.44,PHP,70.76,CU-182865,US,CARD,blocked_pre_routing
5100138,NOVA-FX,KRTX-03,KRTX,2026-04-01 08:58:11,2026-04-01 09:00:56,SALE,APPROVED,22830.0,JPY,,CU-150558,JP,CARD,
5100139,NOVA-FX,KRTX-03,KRTX,2026-04-01 08:43:07,2026-04-01 08:43:54,SALE,APPROVED,11484.53,PHP,200.7,CU-151199,PH,CARD,
5100140,NOVA-FX,sorva-14,SORVA,2026-04-01 23:43:03,2026-04-01 23:45:16,SALE,APPROVED,62.31,USD,62.31,CU-177627,US,CARD,
5100141,NOVA-FX,KRTX-03,KRTX,2026-04-01 15:05:26,2026-04-01 15:06:30,SALE,DECLINED,264287.0,JPY,,CU-511245,JP,CARD,issuer_unavailable
5100142,NOVA-FX,KRTX-03,KRTX,2026-04-01 23:33:34,2026-04-01 23:33:47,SALE,APPROVED,3684823.0,JPY,,CU-630619,JP,CARD,
5100143,NOVA-FX,KRTX-03,KRTX,2026-04-01 07:32:10,2026-04-01 07:32:38,SALE,APPROVED,29841.21,PHP,522.37,CU-580874,PH,CARD,
5100144,NOVA-FX,KRTX-11,KRTX,2026-04-01 23:15:14,2026-04-01 23:15:29,SALE,APPROVED,856.98,PHP,15.0,CU-415412,PH,BANK_TRANSFER,
5100145,NOVA-FX,KRTX-11,KRTX,2026-04-01 10:54:19,2026-04-01 10:56:06,SALE,DECLINED,3015.51,PHP,52.77,CU-200835,PH,BANK_TRANSFER,limit_exceeded
5100146,NOVA-FX,SORVA-14,SORVA,2026-04-01 05:37:11,2026-04-01 05:41:19,SALE,FILTERED,162.86,USD,162.86,CU-807957,US,CARD,limit_exceeded
5100147,NOVA-FX,KRTX-03,KRTX,2026-04-01 19:51:55,2026-04-01 19:52:16,SALE,APPROVED,33142.0,JPY,211.09,CU-862672,JP,CARD,
5100148,NOVA-FX,,,2026-04-01 03:59:26,2026-04-01 03:59:37,SALE,FILTERED,48957.0,JPY,311.71,CU-656027,JP,CARD,blocked_pre_routing
5100149,NOVA-FX,KRTX-03,KRTX,2026-04-01 03:36:16,2026-04-01 03:36:32,SALE,APPROVED,17877.0,JPY,113.7,CU-801077,JP,CARD,
5100150,NOVA-FX,SORVA-14,SORVA,2026-04-01 23:24:04,2026-04-01 23:24:58,SALE,APPROVED,10.94,USD,10.94,CU-436625,US,CARD,
5100151,NOVA-FX,KRTX-03,KRTX,2026-04-01 13:49:24,2026-04-01 13:49:55,SALE,APPROVED,21423.32,PHP,375.49,CU-653278,PHL,CARD,
5100152,NOVA-FX,SORVA-14,SORVA,2026-04-01 18:44:41,2026-04-01 18:45:24,SALE,APPROVED,825869.0,JPY,5257.26,CU-904821,JP,CARD,
5100153,NOVA-FX,KRTX-03,KRTX,2026-04-01 20:38:36,2026-04-01 20:38:54,SALE,APPROVED,8196.49,PHP,143.27,CU-614049,PH,CARD,
5100154,NOVA-FX,KRTX-03,KRTX,2026-04-01 13:04:41,2026-04-01 13:05:01,SALE,APPROVED,154493.0,JPY,984.69,CU-939256,JP,CARD,
5100155,NOVA-FX,KRTX-03,KRTX,2026-04-01 20:28:29,2026-04-01 20:28:55,SALE,DECLINED,1368.71,PHP,,CU-836164,PH,CARD,insufficient_funds
5100156,NOVA-FX,KRTX-03,KRTX,2026-04-01 15:48:45,2026-04-01 15:50:01,SALE,DECLINED,26126.68,PHP,,CU-564515,PH,CARD,do_not_honor
